,Otázka,Správná odpověď,Distraktor 1,Distraktor 2,Distraktor 3,Vysvětlivky a poznámky
Elektrotechnika a radiotechnika,Sériově řazené akumulátory,Se zapojují pro zvýšení dodávaného napětí,Umožňují dodávat větší proud,Snižují vnitřní odpor celého systému,Slouží výhradně k nouzovému zálohování,"Tohle je přesný opak toho minulého. Představ si sériové zapojení jako dva lidi stojící v řadě za sebou (v sérii). Ten zadní tlačí do zad toho předního. Proud (Ampéry) se nezvětší, protože to pořád protéká přes stejnou „frontu“. Napětí (Volty) se ale sečte a zvýší, protože ty baterky tlačí sílu za sebou. Příklad: Dvě 12V baterky v sérii ti dají 24V. U zkoušky: Sériově = větší napětí (Volty)."
Elektrotechnika a radiotechnika,Jmenovité napětí článku olověného akumulátoru je,2 V,"1,2 V","1,5 V","2,4 V","Pomůcka: Olovo je hrozně těžké a má 2 slabiky (O-LO-VO = 2 V... no dobře, má tři, ale představ si dvě velká O jako dvě těžké olověné koule). Nebo ještě líp: Klasická autobaterie je olověná, má 12 V a skládá se ze 6 článků. 12 / 6 = 2. U zkoušky: Olovo = 2 V (nejvíc ze všech tří)."
Elektrotechnika a radiotechnika,Jmenovité napětí článku alkalického akumulátoru je,"1,2 V","1,5 V",2 V,"1,0 V","Pomůcka: Alkalický akumulátor (nabíjecí baterka) má nejmíň ze všech. Když ji koupíš, tak na rozdíl od klasické tužkovky (1,5 V) má tahle nabíjecí o něco míň síly, jen 1,2 V. U zkoušky: Nabíjecí (alkalická) = 1,2 V (nejmíň)."
Elektrotechnika a radiotechnika,Jmenovité napětí suchého galvanického článku je,"1,5 V","1,2 V",2 V,3 V,"Pomůcka: To je ta úplně klasická tužková baterka (AA nebo AAA), co dáváš do ovladače od televize. Na ní je vždycky obřím písmem napsáno 1,5 V. U zkoušky: Suchá tužkovka = 1,5 V (střed)."
Elektrotechnika a radiotechnika,Suché galvanické články,Nelze dobíjet,Lze dobíjet speciální pulsní nabíječkou,Lze dobíjet pouze do 50% jejich kapacity,Jsout konstruovány pro střídavé sítě,"Tohle zná každý z domova. Suchý galvanický článek je ta obyčejná, klasická jednorázová baterka (třeba zinkouhlíková nebo běžná alkalická z obchodu, co nese označení „Do not recharge“). Jakmile se vybije, je chemická reakce uvnitř u konce a baterka je na vyhození (do červeného koše na elektroodpad!). Kdybys ji zkusil strčit do nabíječky, v lepším případě vyteče, v horším ti bouchne pod rukama. Akumulátor dobíjet můžeš, suchý článek NE."
Elektrotechnika a radiotechnika,Antény dělíme podle směru vysílání nebo příjmu na,Směrové a všesměrové,Aktivní a reaktivní,Vysokofrekvenční a nízkofrekvenční,Vertikální a horizontální,"Všesměrové (všesměry): Vysílají nebo přijímají signál kolem dokola (360°). Představ si to jako klasický prut na autě nebo na letadle. Je jedno, kde stanice je, slyíš ji odevšad stejně. Směrové: Soustředí veškerou sílu do jednoho konkrétního směru (jako baterka). Příkladem je klasická televizní anténa na střeše (tzv. Yagi), kterou musíš přesně namířit na vysílač, jinak nechytneš nic."
Elektrotechnika a radiotechnika,Všesměrová anténa má vyzařovací charakteristiku,Kruhovou,Osmičkovou,Srdcovou (kardioidní),Úzce směrovanou kuželovou,"Uvažuješ naprosto správně. Celý kruh má 360 stupňů, takže když anténa střílí signál do všech 360 stupňů kolem sebe, její vyzařovací charakteristika (to, jak ten signál vypadá na mapě) je prostě kruh."
Elektrotechnika a radiotechnika,Všesměrová anténa musí přijímat nebo vysílat stejně všemi směry,V horizontální rovině,V vertikální rovině,V podélné ose letadla,Směrem k zemskému jádru,Všesměrová = kruh = horizontální rovina.
Elektrotechnika a radiotechnika,Půlvlnný dipól,"Může být směrová i všesměrová anténa, záleží na jeho orientaci k zemskému povrchu",Je výhradně směrová anténa za všech okolností,Funguje pouze jako přijímací anténa,Vysílá signál pouze do horního poloprostoru,"Když drát stojí jako prut na autě, střílí do kruhu všude kolem = všesměr. Když drát leží, střílí jen do boků a ne do konců = směrová. Závěr: Záleží na tom, jak ho otočíš k zemi! U zkoušky tedy platí: Půlvlnný dipól = může být směrová i všesměrová podle orientace k zemi."
Elektrotechnika a radiotechnika,Půlvlnný dipól umístěný rovnoběžně se zemským povrchem,Má v horizontální rovině osmičkovou vyzařovací charakteristiku,Má dokonale kruhovou vyzařovací charakteristiku,Nevysílá do stran žádný užitečný signál,Mění polarizaci v závislosti na denní době,Drát leží (vodorovně) -> střílí jen dopředu a dozadu -> na mapě to nakreslí osmičku. Ležící dipól = osmičková charakteristika.
Elektrotechnika a radiotechnika,"Vztah mezi délkou vlny (λ) a kmitočtem (f), když c je rychlost světla, je",f = c / λ,f = c * λ,f = λ / c,f = c^2 * λ,"Zapamatuj si slovo FCB (jako fotbalový Baník nebo Barcelona), akorát místo B je tam ta řecká potvora lambda."
Elektrotechnika a radiotechnika,Který typ modulace mění kmitočet vysokofrekvenčního signálu v závislosti na přiváděném modulačním napětí,Kmitočtová modulace,Amplitudová modulace,Fázová modulace,Pulzně kódová modulace,"V otázce máš: „mění kmitočet“. Správná odpověď je: Kmitočtová modulace. Možná to znáš z rádia pod zkratkou FM (Frequency Modulation = Kmitočtová modulace). Když ladíš rádio na FM, posloucháš přesně tohle."
Elektrotechnika a radiotechnika,Ampérmetr a voltmetr se při měření zařazují,"Ampérmetr do série se spotřebičem, voltmetr paralelně ke spotřebiči","Voltmetr do série se spotřebičem, ampérmetr paralelně ke spotřebiči",Oba měřicí přístroje se zapojují zásadně paralelně,Oba měřicí přístroje se zapojují zásadně do série,"Ampérmetr - Série (A-S) - Měří proud, dává se do cesty. ABS. Voltmetr - Paralelně (V-P) - Měří napětí, dává se vedle. VIP."
Elektrotechnika a radiotechnika,"V suchém, bezprašném prostředí (zamýšlené použití elektrického zařízení nezvyšuje nebezpečí úrazu elektrickým proudem) považujeme při dotyku živých částí zařízení během jeho obsluhy za bezpečná napětí",Stejnosměrné do 60 V a střídavé do 25 V,Stejnosměrné do 25 V a střídavé do 60 V,Stejnosměrné i střídavé jednotně do 50 V,Stejnosměrné do 110 V a střídavé do 48 V,"Stejnosměrný proud je pro lidské tělo o něco méně nebezpečný (nekope v rytmu frekvence), takže jeho limit je vyšší (60 V). Střídavý proud (ten, co máš doma v zásuvce) je nebezpečnější, takže tě pustí jen na nižší hodnotu (25 V). Pamatuj si dvojici 25 a 60 (střídavé je to menší)."
Elektrotechnika a radiotechnika,Při úrazu elektrickým proudem,"Vyprostíme postiženého z dosahu el. proudu, zavoláme záchrannou službu, provedeme záklon hlavy a dojde-li k selhání základních životních funkcí (tep, puls, vědomí), zahájíme resuscitaci masáží srdce až do příjezdu záchranářů, případně umělým dýcháním.",Nejprve postiženému zkontrolujeme doklady a zjistíme krevní skupinu.,"Okamžitě zahájíme umělé dýchání bez ohledu na to, zda je vodič pod napětím.",Odsuneme postiženého libovolným kovovým předmětem a vyčkáme probuzení.,"1. Bezpečnost na prvním místě - Nejprve vyprostit postiženého z dosahu proudu (vypnout jistič, odsunout drát suchým dřevem), abys sám nedostal ránu. 2. Volat 155 - Záchranka musí být na cestě hned. 3. Záklon hlavy - Klíčový krok pro zprůchodnění dýchacích cest. 4. Masáž srdce - Pokud nedýchá nebo nemá puls, okamžitě začít mačkat střed hrudníku (frekvencí zhruba 100-120x za minutu – rytmus písničky Stayin' Alive), případně s umělým dýcháním v poměru 30 stlačení ku 2 vdechům."
Elektrotechnika a radiotechnika,Funkce „SQUELCH“ VKV radiostanice je určena,K potlačení slabších rušivých signálů včetně vlastního šumu přijímače.,K automatickému ladění na nejsilnější stanici v okolí,Ke zvýšení vysílacího výkonu při zhoršeném spojení,K šifrování hlasového přenosu proti odposlechu,Mnemotechnická pomůcka: Slovíčko Squelch zní trochu jako „skřípnutí“ nebo „utnutí“. SQUELCH - Utne Šum.
Elektrotechnika a radiotechnika,Údaj elektrické napětí 2 V lze také zapsat,2000 mV,200 mV,"0,002 mV",20 mV,"Když jdeš z hlavní jednotky (Volt) na menší s předponou „mili“, posouváš desetinnou čárku o 3 místa doprava (nebo prostě připíšeš tři nuly)."
Elektrotechnika a radiotechnika,Kmitočet 406 MHz lze také zapsat,"0,406 GHz","40,6 GHz",4060 GHz,"4,06 GHz","Při převodu z menší jednotky (Mega) na větší (Giga) se číslo zmenší, takže desetinnou čárku posuneš o tři místa doleva."
Elektrotechnika a radiotechnika,Délka rádiové vlny v pásmu 160 MHz (VHF) je,cca. 2 m,cca. 20 m,cca. 20 cm,"cca. 0,5 m","Pro 160 MHz: 300 / 160 - cca 1,87 m (zaokrouhleno na 2 metry). Vyšší frekvence - kratší vlna. Nižší frekvence - delší vlna."
Elektrotechnika a radiotechnika,"Vztah mezi napětím (U), proudem (I) and odporem (R) je:",U = R*I,U = R / I,U = I / R,U = R + I,U = R * I (U-R-I - pamatuj si jméno jako Švýcarský kanton Uri nebo prostě slovo URI). Na konci je vždycky I.
Elektrotechnika a radiotechnika,"Vztah mezi výkonem (příkonem) (P), napětím (U) a proudem (I) je:",P = U*I,P = U / I,P = I / U,P = U + I,"Zapamatuj si slovo PUI (čti „puj“) nebo značku PUMA, akorát místo MA tam dáš I. Na konci je vždycky I."
Elektrotechnika a radiotechnika,Radiostanice odebírající z baterie 12 V proud 500 mA má příkon,6 W,60 W,"0,6 W",12 W,"12 V * 0,5 A - 6 W. Před násobením vždycky předělej miliampéry (mA) na Ampéry (A) tak, že škrtneš tři místa."
Elektrotechnika a radiotechnika,Tři dobré vodiče elektřiny jsou,"měď, zlato, stříbro","sklo, plast, guma","voda, dřevo, křemík","hliník, porcelán, papír","Měď, zlato a stříbro mají volné elektrony a kladou proudu nejmenší odpor."
Elektrotechnika a radiotechnika,Čtyři dobré izolanty jsou,"sklo, vzduch, plast, porcelán","měď, grafit, železo, zinek","olej, vlhká půda, hliník, rtuť","uhlík, destilovaná voda, olovo, bronz","Izolanty nepouští elektrický proud, protože nemají volné nosiče náboje."
Elektrotechnika a radiotechnika,Ke zdroji 10 V jsou připojeny dva odpory 10 Ω zapojené do série. Odebíraný příkon činí:,5 W,10 W,20 W,"2,5 W",Příkon se dá spočítat i přímo jako P = U^2 / R. Napětí na druhou je 10 X 10 = 100. Celkový odpor je v sérii 10 + 10 = 20 Ohm. A 100 / 20 Ohm je rovnou 5 W.
Elektrotechnika a radiotechnika,"Radiotechnická součástka je identifikována jako kondenzátor, pokud se její hodnota měří v",pF,GHz,H,Ohm,Kondenzátor - pF (pikoFarad). Odpory jsou v Ohmech a cívky v Henry (H).
Elektrotechnika a radiotechnika,Výstupním výkonem stanice se rozumí,výkon koncového stupně vysílače dodávaný do napaječe anténního systému.,celkový příkon odebíraný radiostanicí z akumulátoru,vyzařovaný výkon změřený v hlavní ose směrové antény,ztrátový výkon přeměněný v koncových tranzistorech na teplo,"Výstupní výkon - konec vysílače / začátek napaječe. Představ si to jako motor v autě: Výstupní výkon je výkon samotného motoru, ne to, co nakonec přenesou kola na asfalt."
Elektrotechnika a radiotechnika,Je možné vysílat bez antény?,"Ne, hrozí poškození radiostanice","Ano, ale signál bude mít poloviční dosah","Ano, pokud snížíme napájecí napětí na minimum","Ano, ale pouze v učebním módu pro testování paměti","Bez antény NEVYSÍLAT - hrozí zničení (uhoření) koncového tranzistoru. Přijímat (jen poslouchat) bez antény klidně můžeš (nic se nezkazí, jen nic neuslyšíš), ale vysílat nikdy."
Elektrotechnika a radiotechnika,"Co NENÍ možné dělat, když máme stisknuté tlačítko pro vysílání (PTT)?",přijímat jiné vysílání,měnit hlasitost reproduktoru,sledovat indikátor vysílaného výkonu,hovořit do palubního mikrofonu,"Stisknuté PTT - Jen vysílám, neslyším nic jiného. Funguje to jako mluvení do megafonu – když do něj křičíš, taky neslyšíš, co ti lidé odpovídají z dálky, dokud nepřestaneš."
Elektrotechnika a radiotechnika,V jakém kmitočtovém pásmu pracuje letadlová VHF radiostanice?,118–137 MHz,"87,5 – 108 MHz",108 – 118 MHz,144–146 MHz,"87,5 – 108 MHz: Tvoje rádio v autě (komerční stanice, hudba, zprávy). 108 – 118 MHz: Letecké navigační majáky (nepřetržitě pískají kód v morzeovce, podle kterého letadla poznají, kde jsou). 118 – 137 MHz: Letecká radiostanice (přesně to naše pásmo, kde mluví piloti a věž)."
